Уровень,Вопрос,Варианты,Верный
1,Что случилось с «Титаником»?,Затонул$Исчез$Заглотила акула$Подарен ДиКаприо$Продан на аукционе ,1
2,Какой из этих танцев — итальянский?,Чардаш$Полька$Тарантелла$Танго$Канкан ,3
4,О конкуренции между какими компаниями-гигантами рассказывает фильм «Пираты кремниевой долины»?,Microsoft и Apple Computer$Ericsson и Nokia$Yahoo! и Google$eBay и Amazon$Macromedia и Corel,1
5,Кто был автором сценария первых выпусков программы «АБВГДейка»?,Юрий Никулин$Семён Фарада$Александр Масляков$Эдуард Успенский$Владимир Ворошилов ,4
7,Из какого металла в Древнем Риме изготавливались водопроводные трубы?,Из алюминия$Из свинца$Из стали$Из бронзы$Из олова ,2
8,В гимне какой страны есть такие слова: «Будь стойкой и вечной»? ,Мьянма$Бруней$Иран$Ирак$Афганистан,3
9,Кто изображён на оборотной стороне банкноты в 10 фунтов стерлингов образца 1999 года?,Уильям Теккерей$Чарльз Дарвин$Эдуард VII Виндзорский$Гилберт Честертон$Генри Форд ,2
1,У какого музыкального инструмента больше струн?,Балалайка$Гитара$Виолончель$Контрабас$Домра,2
2,"Каким станет формат листа, если разделить на 4 части лист формата А2?",A0$A1$A3$A4$A5,4
3,Кто правит в Саудовской Аравии?,Эмир$Султан$Шах$Король$Василевс,4
4,Из скольких ячеек состоит одна грань кубика Рубика?,4$9$16$25$36,2
2,"Какое домашнее животное вспоминают, когда говорят о том, в чём заключается суть некоего дела?",Кошку$Собаку$Лошадь$Свинью$Корову,2
3,Какой предмет преподавал главный герой сериала «Во все тяжкие»?,Химию$Биологию$Физику$Информатику$Математику,1
4,"Во время коронации какого Российского монарха произошла Ходынская давка, унесшая жизни многих людей?",Николая I$Александра II$Павла I$Александра III$Николая II ,5
6,"К какому царству принадлежит биологический вид, в названии которого присутствует слово «тупейший»?",Бактерии$Грибы$Животные$Растения$Вирусы ,4
1,С какой части речи начинается Гимн Советского Союза?,С союза$С глагола$С существительного$С местоимения$С наречия,3
2,Кто создал танк Т-34?,Кошкин$Мышкин$Собачкин$Петухов$Галкин,1
3,К какому типу музыкальных инструментов относится т. н. «перкуссия»?,Струнные$Ударные$Клавишные$Духовые$Язычковые,2
1,Какой город являлся конечной целью героя произведения Венедикта Ерофеева?,Курочки$Петушки$Бычки$Коровки$Поросята,2
2,Название какого из этих насекомых созвучно с единицей измерения количества вещества?,Оса$Шмель$Моль$Муравей$Божья коровка,3
1,Как заканчивается пословица «За двумя зайцами погонишься — …»?,Ни одного не поймаешь$Третьего упустишь$На медведя нарвёшься$Лишний вес сбросишь$Мама наругает ,1
5,Какой день недели в некоторых странах мира ассоциируют с богами-громовержцами?,Понедельник$Вторник$Среда$Четверг$Пятница,4
7,Глава какой страны также является и соправителем княжества Андорра?,Франции$Испании$Италии$Португалии$Германии,1
8,Интернет-домен какого государства идентичен общепринятому обозначению водородного показателя?,Филиппины$Польша$Парагвай$Пуэрто-Рико$Финляндия,1
10,Где вы с гораздо большей вероятностью сможете встретить фунамбулиста?,В филармонии$В больнице$В цирке$На стадионе$В музее,3
5,Промежуток какого десятилетия в истории Советского Союза иронически называют «пятилеткой пышных похорон»?,40-е$50-е$60-е$70-е$80-е,5
3,"Какая из аббревиатур, в отличие от остальных нижеперечисленных, относится к другому роду?",СПбГУ$ЦСКА$МХАТ$ЛДПР$СССР,4
8,Жители каких двух регионов живут в разных часовых поясах?,Хабаровский и Приморский края$Республики Башкортостан и Коми$Тюменская и Новосибирская области$Алтайский край и республика Алтай$ХМАО и ЯНАО,3
11,"Имя какого животного фигурирует в названии парадокса, согласно которому «человек действует соответственно тому, как судит его разум»?",Мартышка$Осёл$Козёл$Медведь$Свинья,2
12,Богослужением какого христианского течения восхищался Фёдор Тютчев в одном из своих стихотворений?,Англиканство$Лютеранство$Кальвинизм$Баптизм$Пятидесятничество,2
5,﻿Цвета какого клуба - черно-оранжевые?,"""Шахтер"" Донецк$""Локомотив"" Москва$""Динамо"" Киев$""Спартак"" Москва$""Зенит"" Санкт-Петербург",1
6,Сборная какой страны не вышла из группы на счастливом для нас ЕВРО-2008?,Турция$Испания$Германия$Швеция$Португалия,4
4,Какой группе принадлежит авторство песни We Are The Champions?,Metallica$Queen$Pink Floyd$The Beatles$The Rolling Stones,2
6,"«Тебя посодют, а ты не воруй!» — в каком фильме впервые прозвучала эта фраза, ставшая впоследствии крылатой?",«Старики-разбойники»$«Берегись автомобиля»$«Джентльмены удачи»$«Бриллиантовая рука»$«Спортлото-82»,2
9,"Многие, наверное, слышали о рок-группы «Монгол шуудан», выпустившей первой в России первый альбом на CD. А где в самой Монголии можно встретить надпись «Монгол шуудан»?",На проездных билетах$На монетах$На почтовых марках$На театральных билетах$На школьных учебниках,3
7,"Как называлась одна из экспортных моделей машин, выпускавшихся в советское время Запорожским автомобильным заводом?",Jaguar$Jamaica$Jalta$Japan$Java,3
6,"Что император Николай II собственноручно указал в графе «Род занятий» во время переписи населения 1897 года, проведённой по инициативе Петра Семёнова-Тянь-Шанского?",«Император всероссийский»$«Государственный деятель»$«Слуга народа»$«Хранитель России»$«Хозяин земли русской»,5
10,В какой стране в магазине вы запросто можете получить сдачу банами?,Чехия$Румыния$Словения$Венгрия$Македония,2
8,Сборная какой страны не принмала участия ни в одном чемпионате мира?,Турция$Словения$КНДР$Китай$Узбекистан,5
11,"Что изображено на гербе города Шуя Ивановской области, отражая тем самым исторические, культурные и экономические традиции этого города?",Кусок мыла$Керамический горшок$Деревянное колесо$Валенок$Серп,1
12,Кто был римским императором на рубеже старой и новой эр?,Клавдий$Октавиан Август$Тиберий$Калигула$Нерон,2
6,Какой мореплаватель дал самому большому океану Земли название «Тихий»?,Никитин$Колумб$Васко да Гама$Магеллан$Кук,4
9,"В какой стране, кроме Ватикана, одна из радиостанций ведёт регулярные передачи на латыни?",в Финляндии$в Польше$в Италии$во Франции$в Испании,1
6,Из какой страны родом бенгальские огни?,Япония$Китай$Индия$Италия$Бельгия,3
10,"Из какого штата были родом янки, оказавшиеся при дворе короля Артура в романе Марка Твена?",Техас$Коннектикут$Алабама$Оклахома$Колорадо,2
8,Какой гриб в народе прозвали «заячьей картошкой»?,опёнок$сморчок$строчок$дождевик$волнушку,4
10,Какая древнегреческая муза изображалась со свитком папируса или пергамента?,Клио$Талия$Терпсихора$Мельпомена$Эрато,1
